ID;Bird;Cage;Date of Transfer;Who
1751;r6r8;KO;23.07.2007;Joshua
1752;p15p-r11;KM;23.07.2007;Joshua
1753;p18p-r11;KM;23.07.2007;Joshua
1754;s10s20-y7o;KO;24.07.2007;Michael
1755;b10br-y16p;KU;24.07.2007;Georg
1756;b11p-red16;KU;24.07.2007;Georg
1757;b12p-red16;KU;24.07.2007;Georg
1758;b13p-y13k;KU;24.07.2007;Georg
1759;b15p-y13k;KU;24.07.2007;Georg
1760;b17p-y13k;KU;24.07.2007;Georg
1761;b8br-b3k;KU;24.07.2007;Georg
1762;blue10;KU;24.07.2007;Georg
1763;blue3;KU;24.07.2007;Georg
1764;g1k;KU;24.07.2007;Georg
1765;o1o2;KU;24.07.2007;Georg
1766;o1o2;KU;24.07.2007;Georg
1767;o7o8;KU;24.07.2007;Georg
1768;p13p-p14k;KU;24.07.2007;Georg
1769;p1p-s14k;KU;24.07.2007;Georg
1770;purple5;KU;24.07.2007;Georg
1771;r14p-s2;KU;24.07.2007;Georg
1772;r1s1;KU;24.07.2007;Georg
1773;r1s19;KU;24.07.2007;Georg
1774;r1s3;KU;24.07.2007;Georg
1775;r1s4;KU;24.07.2007;Georg
1776;r1s5;KU;24.07.2007;Georg
1777;r1s9;KU;24.07.2007;Georg
1778;r20p-s17o;KU;24.07.2007;Georg
1779;r2r4;KU;24.07.2007;Georg
1780;r3r9;KU;24.07.2007;Georg
1781;r4r12;KU;24.07.2007;Georg
1784;r4r14;KU;24.07.2007;Georg
1785;r4r13;KU;24.07.2007;Georg
1786;r5r17;KU;24.07.2007;Georg
1788;r6r20;KU;24.07.2007;Georg
1789;r6r7;KU;24.07.2007;Georg
1790;r6r9;KU;24.07.2007;Georg
1791;r7p-r9k;KU;24.07.2007;Georg
1792;r7r11;KU;24.07.2007;Georg
1793;s18p-y7o;KU;24.07.2007;Georg
1794;s19p-y7o;KU;24.07.2007;Georg
1795;s1s11-g13p;KU;24.07.2007;Georg
1796;s4s14-g13p;KU;24.07.2007;Georg
1797;s6s16-g13p;KU;24.07.2007;Georg
1798;s7p-r14;KU;24.07.2007;Georg
1799;s7s17-g13p;KU;24.07.2007;Georg
1800;s9s19-y7o;KU;24.07.2007;Georg
1801;y1y6-s3k;KU;24.07.2007;Georg
1802;y3y8-s3k;KU;24.07.2007;Georg
1803;r1s13;KM;22.07.2007;Georg
1809;DJsubsong2;O4;24.07.2007;Aymeric
1810;a4-yellow1;O4;25.07.2007;Aymeric
1811;s9p-r14;KM;26.07.2007;Claude
1812;b8o-p11k;O4B;27.07.2007;Moritz
1813;r2b-o3;O4B;27.07.2007;Moritz
1816;r1y11;M4;27.07.2007;Moritz
1817;r1y10;M4;27.07.2007;Moritz
1818;r1y13;M4;27.07.2007;Moritz
1819;r1y12;M4;27.07.2007;Moritz
1820;r1y14;M4;27.07.2007;Moritz
1821;r1y15;M4;27.07.2007;Moritz
1822;basdfa;M4;27.07.2007;
1823;r1y7;O4B;27.07.2007;Moritz
1826;r1y8;O4B;27.07.2007;Moritz
1827;r1y9;O4B;27.07.2007;Moritz
1828;yellow1;O4;25.07.2007;Aymeric
1829;dJU5a;U5;27.07.2007;
1830;g2p-sb;IS_5;25.07.2007;Michael
1832;s3s13-gF13p;KU;27.07.2007;Michael
1833;p8k;KU;27.07.2007;Michael
1834;DJsubsong2;E3;28.07.2007;Georg
1835;yellow1;E3;28.07.2007;Georg
1837;g1p-sb;KO;30.07.2007;Michael
1838;a5-yellow1;O4;30.07.2007;Aymeric
1839;yellow1;MK;11.08.2007;Georg
1840;r5p-red11;KO;03.08.2007;Claude
1841;y7o-r16;M5B;05.08.2007;Claude
1842;purple16;U1;05.08.2007;Claude
1843;s3k-y8;O3;05.08.2007;Claude
1844;k9k-ch900;O3;05.08.2007;Claude
1847;b17r1;M4B;05.08.2007;Claude
1848;b9r1;M4B;05.08.2007;Claude
1849;b20r1;M4B;05.08.2007;Claude
1850;b19r1;M4B;05.08.2007;Claude
1851;b10r1;M5B;05.08.2007;Claude
1852;b18r1;M5B;05.08.2007;Claude
1853;r1s14;M7;05.08.2007;Claude
1854;r1s15;M7;05.08.2007;Claude
1855;r1s16;M7;05.08.2007;Claude
1856;r1s17;M7;05.08.2007;Claude
1857;r1y20;O3;05.08.2007;Claude
1858;r1y19;O3;05.08.2007;Claude
1859;b6r1;O3;05.08.2007;Claude
1860;b7r1;O3;05.08.2007;Claude
1861;y1r1;U5;05.08.2007;Claude
1862;y2r1;U5;05.08.2007;Claude
1863;y3r1;U5;05.08.2007;Claude
1864;y4r1;U5;05.08.2007;Claude
1865;y5r1;U6;05.08.2007;Claude
1866;r1y6;U6;05.08.2007;Claude
1867;o11o12;KM;08.08.2007;Claude
1868;s10s20-y7o;IS_6;07.08.2007;Michael
1870;g1p-sb;IS_5;09.08.2007;Michael
1871;r5r19;KO;10.08.2007;Michael
1872;s20p-s3k;KO;10.08.2007;Michael
1873;o6r1;O4;11.08.2007;Georg
1874;r1y16;U3B;11.08.2007;Georg
1875;r1y17;U3B;11.08.2007;Georg
1876;r1y18;U3B;11.08.2007;Georg
1877;g5r1;U1;11.08.2007;Georg
1878;purple13;U1;11.08.2007;Georg
1879;silver1;U1;11.08.2007;Georg
1880;o5o6;KO;14.08.2007;Claude
1881;o2r1;M3;16.08.2007;Aymeric
1882;r1s13;E1;16.08.2007;Georg
1883;o13o14;KM;17.08.2007;Claude
1884;s20p-s3k;IS6;14.08.2007;Michael
1885;a6-r12p;U7;21.08.2007;Aymeric
1886;y4r1;KU;22.08.2007;Daniele
1887;a7-o20o;U6;22.08.2007;Aymeric
1888;o3r1;O2B;24.08.2007;Claude
1889;o4r1;O2B;24.08.2007;Claude
1890;o5r1;O2B;24.08.2007;Claude
1891;o7r1;U4;24.08.2007;Claude
1892;r9k-s17;MK;27.08.2007;Claude
1893;r19p-s17o;KM;27.08.2007;Claude
1894;p17p-p14k;KO;28.08.2007;Daniele
1895;r5r19;IS5;29.08.2007;Michael
1896;b11r1;U2B;31.08.2007;Daniele
1897;b12r1;U2B;31.08.2007;Daniele
1899;g13r1;U6B;31.08.2007;Daniele
1900;g14r1;U6B;31.08.2007;Daniele
1901;g15r1;U6B;31.08.2007;Daniele
1902;g16r1;U6B;31.08.2007;Daniele
1903;g17r1;U6B;31.08.2007;Daniele
1904;g18r1;U6B;31.08.2007;Daniele
1905;o16r1;U7;31.08.2007;Daniele
1906;o17r1;U7;31.08.2007;Daniele
1907;o18r1;U7;31.08.2007;Daniele
1908;red14;M3B;31.08.2007;Daniele
1909;red2;M3B;31.08.2007;Daniele
1910;goldch900;M4;31.08.2007;Daniele
1911;purple17;M4;31.08.2007;Daniele
1912;r12k-ch900;O2;31.08.2007;Daniele
1913;g16k;O2;31.08.2007;Daniele
1914;p14k-p2;U4;31.08.2007;Daniele
1915;purple8;U4;31.08.2007;Daniele
1916;g2r1;U1;31.08.2007;Daniele
1917;r1y17;KU;31.08.2007;Daniele
1918;r2r3;KM;29.08.2007;Aymeric
1919;r2r3;IS1;31.08.2007;Aymeric
1920;b5r1;KM;31.08.2007;Aymeric
1921;b5r1;IS2;31.08.2007;Aymeric
1922;b1r1;KO;29.08.2007;Aymeric
1923;b1r1;IS3;31.08.2007;Aymeic
1924;p17p-p14k;MK;03.09.2007;Daniele
1925;y2y7-s3k;KM;03.09.2007;Claude
1926;y4y9-s3k;KM;03.09.2007;Claude
1927;p8o-g14k;KM;03.09.2007;Claude
1928;g4p-y16p;KO;03.09.2007;Georg
1929;r19p-s17o;E2;03.09.2007;Claude
1930;red14;KM;03.09.2007;Claude
1931;s14k-r16;M5;07.09.2007;Moritz
1932;b18p-s14k;M5;07.09.2007;Moritz
1933;g4k;O1;07.09.2007;Moritz
1934;y13k-s17;O1;07.09.2007;Moritz
1935;b11o-p11k;U3B;07.09.2007;Moritz
1936;g9b-o4k;U3B;07.09.2007;Moritz
1937;r2b-o3;U1;07.09.2007;Moritz
1938;g4r1;U1;07.09.2007;Moritz
1939;o13r1;M1B;07.09.2007;Moritz
1940;o14r1;M1B;07.09.2007;Moritz
1941;o15r1;M1B;07.09.2007;Moritz
1942;o1r1;M3;07.09.2007;Moritz
1943;o10r1;U2;07.09.2007;Moritz
1944;o11r1;U2;07.09.2007;Moritz
1945;o12r1;U2;07.09.2007;Moritz
1946;o8r1;U2;07.09.2007;Moritz
1947;o9r1;U2;07.09.2007;Moritz
1948;r1s2;KM;11.09.2007;Aymeric
1949;b5r1;KM;11.09.2007;Aymeric
1950;r1y6;KM;11.09.2007;Aymeric
1951;o20o-ch900;U6;17.09.2007;Joshua
1952;r12o-o4k;U6;14.09.2007;Joshua
1954;o20r1;U6;14.09.2007;Joshua
1955;g1r1;U1;14.09.2007;Joshua
1956;o9o10;U1;14.09.2007;Joshua
1957;g3r1;U1;14.09.2007;Joshua
1958;purple8;U1;14.09.2007;Joshua
1959;g9r1;U1;14.09.2007;Joshua
1960;b4p-red11;U1;14.09.2007;Joshua
1961;r1s20;KO;18.09.2007;Moritz
1962;r1s6;KO;18.09.2007;Daniele
1963;r1y6;IS3;21.09.2007;Aymeric
1965;b5r1;KM;18.09.2007;Aymeric
1966;r1s2;IS1;19.09.2007;
1967;o8r1;KU;21.09.2007;Georg
1968;g14r1;KM;24.09.2007;Aymeric
1969;r1s20;MK;25.09.2007;Moritz
1970;g1r1;M3B;27.09.2007;florian
1971;p16p-r11;KM;27.09.2007;florian
1972;s11o-sb;KU;27.09.2007;florian
1973;y13k-s17;KO;27.09.2007;florian
1974;r14w-silver17;KU;27.09.2007;florian
1975;y13o-r11;KU;27.09.2007;
1982;g19r1;M7;27.09.2007;florian
1983;b14r1;M7;27.09.2007;florian
1984;b15r1;M7;27.09.2007;florian
1985;b16r1;M7;27.09.2007;florian
1986;g10r1;U3;27.09.2007;florian
1987;g11r1;U3;27.09.2007;florian
1988;g12r1;U3;27.09.2007;florian
1989;y5o-s3k;KO;27.09.2007;florian
1990;purple17;KU;27.09.2007;florian
1992;r3r10;KO;28.09.2007;Daniele
1993;p2p-s14k;KO;28.09.2007;Aymeric
1994;s5s15-y7o;E1;21.09.2007;aymeric
1998;r1y9;KM;01.10.2007;Aymeric
1999;r1y6;KM;01.10.2007;Aymeric
2001;r1y10;KM;01.10.2007;Aymeric
2002;o5r1;KM;01.10.2007;Aymeric
2005;r3r10;MK;01.10.2007;Daniele
2008;p7r1;ZZ2;01.10.2007;Claude
2009;p9r1;ZZ2;01.10.2007;Claude
2010;p3r1;ZZ2;01.10.2007;Claude
2011;p8r1;ZZ2;01.10.2007;Claude
2012;p6r1;M4B;01.10.2007;Claude
2013;p5r1;M4B;01.10.2007;Claude
2014;g20r1;M7B;01.10.2007;Claude
2015;p2r1;M7B;01.10.2007;Claude
2016;p1r1;M7B;01.10.2007;Claude
2017;p4r1;M7B;01.10.2007;Claude
2018;b8o-p11k;U1;01.10.2007;Claude
2019;s13p-yellow8;U1;01.10.2007;Claude
2020;b17r1;KO;03.10.2007;Aymeric
2021;g15r1;KO;03.10.2007;Aymeric
2022;r5r18;KO;03.10.2007;Aymeric
2023;o5r1;IS1;05.10.2007;Aymeric
2024;r1y9;IS2;04.10.2007;Aymeric
2025;p2p-s14k;E3;05.10.2007;Aymeric
2026;r3p-r19o;U2B;07.10.2007;Georg
2027;r16o-r11;U2B;07.10.2007;Georg
2028;o4k-p2;U4B;07.10.2007;Georg
2029;green13;U4B;07.10.2007;Georg
2030;p20p-b3k;ZZ1;07.10.2007;Georg
2031;r7g-yellow8;ZZ1;07.10.2007;Georg
2032;r1y10;IS3;07.10.2007;Aymeric
2033;g16r1;KO;11.10.2007;Daniele
2034;orange3;U6B;12.10.2007;Daniele
2035;r9p-s19o;U6B;12.10.2007;Daniele
2036;r10br-o4k;KU;12.10.2007;Daniele
2037;o18r1;KM;12.10.2007;Daniele
2038;r2r7;KM;12.10.2007;Daniele
2039;r1y16;KU;12.10.2007;Daniele
2040;p15o-s3k;MK;13.10.2007;Claude
2041;g16r1;MK;15.10.2007;Daniele
2042;r5r18;IS7;19.10.2007;Aymeric
2043;g12r1;KM;19.10.2007;Janie
2044;b14r1;KM;19.10.2007;Janie
2045;g15r1;IS6;18.10.2007;Aymeric
2046;b16r1;KM;22.10.2007;Moritz
2047;o11p-p20;KU;22.10.2007;Moritz
2048;k10r1;M1B;19.10.2007;Moritz
2049;k8r1;M1B;19.10.2007;Moritz
2050;k9r1;M1B;19.10.2007;Moritz
2051;k11r1;M2;19.10.2007;Moritz
2052;o13r2;M2B;22.10.2007;Moritz
2053;p11r1;U2;22.10.2007;Moritz
2054;p12r1;U2;22.10.2007;Moritz
2055;p13r1;U2;22.10.2007;Moritz
2056;p14r1;U2;22.10.2007;Moritz
2057;p15r1;U2;22.10.2007;Moritz
2058;p16r1;U2;22.10.2007;Moritz
2059;b1r2;U5;22.10.2007;Moritz
2061;b2r2;U5;22.10.2007;Moritz
2062;b4r2;U5;22.10.2007;Moritz
2063;b5r2;U5;22.10.2007;Moritz
2064;b9r2;U5;22.10.2007;Moritz
2065;o2r2;U7;22.10.2007;Moritz
2066;o3r2;U7;22.10.2007;Moritz
2067;o4r2;U7;22.10.2007;Moritz
2068;o5r2;U7;22.10.2007;Moritz
2069;r2r6;KM;22.10.2007;Aymeric
2070;b7r1;KO;22.10.2007;Aymeric
2071;g12r1;IS1;23.10.2007;Aymeric
2073;b17r1;IS5;09.10.2007;Aymeric
2074;o3r1;KO;24.10.2007;Moritz
2075;r1s16;KO;25.10.2007;Daniele
2076;p17r1;KU;25.10.2007;Georg
2077;b18r1;KU;25.10.2007;Georg
2078;s2b-y8;U5;27.10.2007;Joshua
2079;r8p-s19o;U5;27.10.2007;Joshua
2080;o6r2;M7;27.10.2007;Joshua
2081;k19r1;O4B;27.10.2007;Joshua
2082;k20r1;O4B;27.10.2007;Joshua
2083;p10r1;O4B;27.10.2007;Joshua
2084;o10r2;U3;27.10.2007;Joshua
2085;o11r2;U3;27.10.2007;Joshua
2086;o12r2;U3;27.10.2007;Joshua
2087;o7r2;U3;27.10.2007;Joshua
2088;o8r2;U3;27.10.2007;Joshua
2089;o9r2;U3;27.10.2007;Joshua
2090;r1s16;MK;29.10.2007;Daniele
2091;k18r1;KM;29.10.2007;Claude
2092;p15o-s3k;E2;31.10.2007;Claude
2093;k18r1;E2;01.11.2007;Claude
2094;g17r1;KU;01.11.2007;Georg
2095;g20r1;KU;01.11.2007;Georg
2097;b13r3;U5B;10.11.2007;florian
2098;b14r2;U5B;10.11.2007;florian
2099;b15r2;U5B;10.11.2007;florian
2100;o19r2;O4;10.11.2007;florian
2101;o20r2;O4;10.11.2007;florian
2102;r2s9;O4B;10.11.2007;Moritz
2103;r2s10;O4B;10.11.2007;Moritz
2104;b10r2;O4;10.11.2007;florian
2105;b11r2;O4;10.11.2007;florian
2106;b12r2;O4;10.11.2007;florian
2107;y8o-r16;MK;10.11.2007;Claude
2108;s2s12-sg8;MK;10.11.2007;Claude
2109;r1y20;KO;13.11.2007;Daniele
2110;p15o-s3k;MK;10.11.2007;Claude
2111;p12o-r9k;MK;13.11.2007;Claude
2112;p15r1;KM;13.11.2007;Claude
2113;b2r1;KO;14.11.2007;Georg
2114;o1r2;KM;15.11.2007;Claude
2115;k17r1;KM;16.11.2007;Janie
2116;g10r1;KM;26.10.2007;Janie
2117;p6k-y8;U1;17.11.2007;Georg
2118;r2s14;M7B;17.11.2007;Georg
2121;r2s15;M7B;17.11.2007;Georg
2122;r2s16;M7B;17.11.2007;Georg
2123;r2s17;M7B;17.11.2007;Georg
2124;k9k-ch900;U1;17.11.2007;Georg
2125;s2b-y8;U1;17.11.2007;Georg
2126;o4r1;KO;19.11.2007;Moritz
2127;r3r11;KM;20.11.2007;Moritz
2128;o3r1;MK;23.11.2007;Moritz
2129;yellow1;O4;23.11.2007;Daniele
2130;green12;O4;23.11.2007;Daniele
2131;r12p-y7o;U7;14.11.2007;Georg
2133;o13r2;MK;23.11.2007;Daniele
2134;b14r1;IS2;23.11.2007;Janie
2135;p11r1;KO;27.11.2007;Daniele
2136;k18r1;MK;26.11.2007;Claude
2137;p15r1;E3;27.11.2007;Claude
2138;b10r1;KM;28.11.2007;Claude
2141;g6r2;M1B;30.11.2007;Andreas
2142;g7r2;M1B;30.11.2007;Andreas
2144;g9r2;M1B;30.11.2007;Andreas
2146;g8r2;M1B;30.11.2007;Andreas
2147;g10r2;M1B;30.11.2007;Andreas
2148;b13g-red11;M1B;30.11.2007;Andreas
2149;s11p-yellow8;M1B;30.11.2007;Andreas
2150;r2r6;IS5;23.11.2007;Janie
2151;b16r2;M2;30.11.2007;Andreas
2152;b17r2;M2;30.11.2007;Andreas
2153;r2s18;M3;30.11.2007;Andreas
2154;r2y20;M4B;30.11.2007;Andreas
2155;g11r2;M4B;30.11.2007;Andreas
2156;r2b1;M4B;30.11.2007;Andreas
2157;r2v1;M4B;30.11.2007;Andreas
2158;r2s4;M5B;30.11.2007;Andreas
2159;r2s5;M5B;30.11.2007;Andreas
2160;r2s6;M5B;30.11.2007;Andreas
2161;r2s7;M5B;30.11.2007;Andreas
2162;r2s8;M5B;30.11.2007;Andreas
2163;o14r2;O2;30.11.2007;Andreas
2164;o15r2;O2;30.11.2007;Andreas
2165;o16r2;O2;30.11.2007;Andreas
2166;y16p-s2;M3;30.11.2007;Andreas
2167;o12o-r12k;M3;30.11.2007;Andreas
2168;yellow20;M4B;30.11.2007;Andreas
2169;blue2;M4B;30.11.2007;Andreas
2170;p16p-r11;U3B;30.11.2007;Andreas
2171;s11o-sb;U3B;30.11.2007;Andreas
2172;r11o-o4k;M5B;30.11.2007;Andreas
2174;p11r1;MK;03.12.2007;Daniele
2175;r1s10;KM;05.12.2007;Moritz
2176;g11r2;KM;10.12.2007;Janie
2177;g11r2;IS1;14.12.2007;Janie
2178;g1r2;M4;10.12.2007;Moritz
2179;g2r2;M4;10.12.2007;Moritz
2180;g3r2;M4;10.12.2007;Moritz
2181;g4r2;M4;10.12.2007;Moritz
2182;g5r2;M4;10.12.2007;Moritz
2183;r2s1;M5;10.12.2007;Moritz
2184;r2s2;M5;10.12.2007;Moritz
2185;r2s3;M5;10.12.2007;Moritz
2186;r2y9;M6;10.12.2007;Moritz
2187;r2y12;M6;10.12.2007;Moritz
2188;r2y11;M7;10.12.2007;Moritz
2189;r2s11;O4B;10.12.2007;Moritz
2190;r2s13;O4B;10.12.2007;Moritz
2191;r2y14;U7;10.12.2007;Moritz
2192;r2y13;U7;10.12.2007;Moritz
2194;red16;M7;10.12.2007;Moritz
2195;g18k-y6;M7;10.12.2007;Moritz
2198;o8p-y8;U7;10.12.2007;Moritz
2199;b13g-red11;U1;10.12.2007;Moritz
2200;blue2;U1;10.12.2007;Moritz
2201;g13p-purple20;U1;10.12.2007;Moritz
2202;o4k-p2;U1;10.12.2007;Moritz
2203;p14k-p2;U1;10.12.2007;Moritz
2204;p16p-r11;U1;10.12.2007;Moritz
2205;purple20;U1;10.12.2007;Moritz
2206;r11o-o4k;U1;10.12.2007;Moritz
2207;r12p-y7o;U1;10.12.2007;Moritz
2208;r16o-r11;U1;10.12.2007;Moritz
2209;r3p-r19o;U1;10.12.2007;Moritz
2210;r8p-s19o;U1;10.12.2007;Moritz
2211;s11o-sb;U1;10.12.2007;Moritz
2212;s11p-yellow8;U1;10.12.2007;Moritz
2213;s3k-y8;U1;10.12.2007;Moritz
2214;silver15;U1;10.12.2007;Moritz
2215;y16p-s2;U1;10.12.2007;Moritz
2216;yellow20;U1;10.12.2007;Moritz
2217;k12r1;KM;11.12.2007;Claude
2218;r2s4;KM;13.12.2007;Moritz
2219;y8o-r16;KU;13.12.2007;Moritz
2220;r2s7;KM;13.12.2007;Moritz
2221;o1r1;KO;13.12.2007;Moritz
2222;r7g-yellow8;KU;13.12.2007;Moritz
2223;b12r2;KU;13.12.2007;Moritz
2224;r2y1;M1;14.12.2007;Joshua
2225;r2y2;M1;14.12.2007;Joshua
2226;r2y3;M1;14.12.2007;Joshua
2228;g13r2;U3;14.12.2007;Joshua
2229;g17r2;U3;14.12.2007;Joshua
2230;g16r2;U3;14.12.2007;Joshua
2231;g14r2;U3;14.12.2007;Joshua
2232;g15r2;U3;14.12.2007;Joshua
2233;g18r2;U3;14.12.2007;Joshua
2234;o17r2;U2;14.12.2007;Joshua
2235;o18r2;U2;14.12.2007;Joshua
2243;r6p-r9k;M6;15.12.2007;Joshua
2244;red5;M6;15.12.2007;Joshua
2245;s17o;U3;15.12.2007;Joshua
2246;green10;U3;15.12.2007;Joshua
2247;o8k-y6;KM;17.12.2007;Claude
2248;b10r1;E3;17.12.2007;Claude
2249;k10r1;KO;18.12.2007;Claude
2250;g16r2;MK;19.12.2007;Claude
2251;g17r2;MK;23.12.2007;Claude
2252;r2y4;M3B;24.12.2007;florian
2253;r2y5;M3B;24.12.2007;florian
2254;r2y6;M3B;24.12.2007;florian
2255;r2y7;M3B;24.12.2007;florian
2256;r2y8;M3B;24.12.2007;florian
2257;r2y15;U6;24.12.2007;florian
2258;r2y16;U6;24.12.2007;florian
2259;r2y17;U6;24.12.2007;florian
2260;r2y18;U6;24.12.2007;florian
2261;r2y19;U6;24.12.2007;florian
2262;b18r2;O3;24.12.2007;florian
2263;b19r2;O3;24.12.2007;florian
2264;b20r2;O3;24.12.2007;florian
2265;p3r2;O1;24.12.2007;florian
2266;p4r2;O1;24.12.2007;florian
2267;p5r2;O1;24.12.2007;florian
2268;g18r1;KO;28.12.2007;Claude
2269;p8r2;ZZ2;28.12.2007;Claude
2270;g1o-g14k;ZZ2;28.12.2007;Claude
2271;g15p-purple20;ZZ2;28.12.2007;Claude
2272;p7r2;O2B;28.12.2007;Claude
2273;g19r2;U4;28.12.2007;Claude
2274;g20r2;U4;28.12.2007;Claude
2275;p2r2;U4;28.12.2007;Claude
2276;r2s19;U4;28.12.2007;Claude
2277;r2s20;U4;28.12.2007;Claude
2278;r11o-o4k;O6;28.12.2007;Claude
2279;s3k-y8;O6;28.12.2007;Claude
2280;r8p-s19o;O6;28.12.2007;Claude
2281;r3p-r19o;O6;28.12.2007;Claude
2282;r16o-r11;O6;28.12.2007;Claude
2283;g13p-purple20;O6;28.12.2007;Claude
2284;r2y10;KM;31.12.2007;Claude
2285;k3r1;KO;03.01.2008;Daniele
2286;k11r1;KM;03.01.2008;Claude
2287;k3r1;MK;07.01.2008;Daniele
2288;s11p-yellow8;O6;07.01.2008;Claude
2289;silver15;O6;07.01.2008;Georg
2290;green10;O6;07.01.2008;Georg
2291;p16p-r11;O6;07.01.2008;Georg
2292;o8p-y8;O6;07.01.2008;Georg
2293;p14k-p2;O6;07.01.2008;Georg
2294;blue2;O6;07.01.2008;Georg
2295;k15r2;O2;07.01.2008;Georg
2296;k16r2;O2;07.01.2008;Georg
2297;k17r2;O2;07.01.2008;Georg
2298;k18r2;O2;07.01.2008;Georg
2299;k19r2;O2;07.01.2008;Georg
2300;k20r2;U5B;07.01.2008;Georg
2301;b7r1;IS6;10.12.2007;
2302;o10w;MK;08.01.2008;Andreas
2303;r2s14;KM;09.01.2008;Moritz
2304;k5r1;KO;10.01.2008;Claude
2305;o10w;IS1;11.01.2008;Andreas
2306;goldch900;KM;11.01.2008;Georg
2308;p11r2;U2;11.01.2008;Daniele
2309;p12r2;U2;11.01.2008;Daniele
2310;p13r2;U2;11.01.2008;Daniele
2312;p16r2;U2B;11.01.2008;Daniele
2313;p14r2;U2B;11.01.2008;Daniele
2314;p15r2;U2B;11.01.2008;Daniele
2315;y13k-s17;O1;11.01.2008;Daniele
2316;r14w-silver17;O1;11.01.2008;Daniele
2317;g4r1;O2;11.01.2008;Daniele
2318;r2b-o3;O2;11.01.2008;Daniele
2319;g2r1;O3;11.01.2008;Daniele
2320;r1y17;O3;11.01.2008;Daniele
2321;red11;U2;11.01.2008;Daniele
2322;p3o-sb;U2;11.01.2008;Daniele
2323;o18r1;U2B;11.01.2008;Daniele
2324;r10br-o4k;U2B;11.01.2008;Daniele
2325;r2r7;U4B;11.01.2008;Daniele
2326;r1y16;U4B;11.01.2008;Daniele
2327;b17r2;KM;15.01.2008;Claude
2328;p3r1;KO;15.01.2008;Claude
2329;k11r1;E2;16.01.2008;Claude
2330;p15r1;E1;16.01.2008;Claude
2333;r2y4;KO;06.01.2008;Michael
2334;p1r1;KM;18.01.2008;Moritz
2335;p10r2;M2;18.01.2008;Andreas
2336;p9r2;M2;18.01.2008;Andreas
2337;k2r2;M5;18.01.2008;Andreas
2338;k3r2;M5;18.01.2008;Andreas
2339;k4r2;M5;18.01.2008;Andreas
2340;k5r2;M5;18.01.2008;Andreas
2341;k6r2;M5;18.01.2008;Andreas
2342;k7r2;M5;18.01.2008;Andreas
2343;k10r2;M5B;18.01.2008;Andreas
2344;k11r2;M5B;18.01.2008;Andreas
2345;k8r2;M5B;18.01.2008;Andreas
2346;k9r2;M5B;18.01.2008;Andreas
2347;g12r2;O4B;18.01.2008;Andreas
2348;o20r2;KM;18.01.2008;Aymeric
2349;b11r2;KU;18.01.2008;Andreas
2350;g8r2;KO;18.01.2008;Andreas
2351;r14w-silver17;KU;18.01.2008;Andreas
2352;k7r1;KO;18.01.2008;Andreas
2353;g7r2;KU;18.01.2008;Andreas
2354;p9r1;KO;18.01.2008;Andreas
2355;b10r2;KU;18.01.2008;Andreas
2356;o18r1;KO;18.01.2008;Andreas
2357;r2y9;KU;18.01.2008;Andreas
2358;r5r16;KO;18.01.2008;Andreas
2359;b14r2;KM;18.01.2008;Daniele
2361;dJM2Bc;M2B;20.01.2008;Georg
2362;p18r3;M2B;20.01.2008;Georg
2363;p19r3;M2B;20.01.2008;Georg
2364;r2y6;KO;21.01.2008;Andreas
2365;p18r3;E3;21.01.2008;Georg
2366;o20r2;KM;22.01.2008;Daniele
2367;b14r2;MK;22.01.2008;Daniele
2368;p1r1;MK;23.01.2008;Moritz
2369;p8r2;KU;23.01.2008;Georg
2371;o16r2;KU;25.01.2008;Claude
2372;g7r1;M2B;26.01.2008;Moritz
2373;orange16;M2B;26.01.2008;Moritz
2374;p11k-ch900;O2B;26.01.2008;Moritz
2375;b20o-ch900;O2B;26.01.2008;Moritz
2377;p20r3;M2B;26.01.2008;Moritz
2378;r4s1;O6;26.01.2008;Moritz
2379;r4s2;M2B;26.01.2008;Moritz
2380;p6r2;M4;26.01.2008;Moritz
2381;k13r2;U6B;26.01.2008;Moritz
2382;p19r3;MK;28.01.2008;Georg
2383;p16r2;KO;31.01.2008;Claude
2384;o14r2;KO;01.02.2008;Aymeric
2385;p7r2;KO;01.02.2008;Claude
2386;r2s5;KO;01.02.2008;Claude
2387;p16r2;E2;01.02.2008;Claude
2388;k12r2;M7B;02.02.2008;Claude
2389;b1r3;M7B;02.02.2008;Claude
2390;r4s10;M1;04.02.2008;Joshua
2391;r4s6;M1;04.02.2008;Joshua
2392;r4s4;M1;04.02.2008;Joshua
2393;r4s9;M1;04.02.2008;Joshua
2394;r4s5;M1;04.02.2008;Joshua
2395;r4s8;M1;04.02.2008;Joshua
2396;r4s7;M1;04.02.2008;Joshua
2397;b4r3;M3B;04.02.2008;Joshua
2398;b5r3;M3B;04.02.2008;Joshua
2399;b6r3;M3B;04.02.2008;Joshua
2400;b7r3;M3B;04.02.2008;Joshua
2401;r4s11;U6;04.02.2008;Joshua
2402;r4s12;U6;04.02.2008;Joshua
2403;r4s13;U6;04.02.2008;Joshua
2404;r4s14;U6;04.02.2008;Joshua
2405;r4s15;U6;04.02.2008;Joshua
2406;p17r2;U6;04.02.2008;Joshua
2407;purple17;U6;04.02.2008;Joshua
2408;y5o-s3k;U6;04.02.2008;Joshua
2409;g8r1;M1;04.02.2008;Joshua
2410;b7br-b3k;M1;04.02.2008;Joshua
