ID;Bird;Cage;Date of Transfer;Who
198;k11k-p11k;M7;02.05.2006;Claude
199;s8k-p11k;M7;02.05.2006;Claude
204;s4k;M1;08.05.2006;Claude
205;g17k-p2;IS2;12.02.2006;
206;g17k-p2;O3;02.03.2006;
207;g17k-p2;M1;08.05.2006;Claude
210;b10k-y6;M1;21.02.2006;Claude
211;r4k-sk;IS4;09.05.2006;Claude
212;silver6;MK;09.05.2006;Katja
213;p14k-p2;MK;09.05.2006;Katja
214;p14k-p2;M1;09.05.2006;
215;k8k-b3k;MK;09.05.2006;Katja
216;y14k-s17;MK;08.05.2006;Claude
217;r4k-sk;E2;09.05.2006;Claude
218;s4k;E2;09.05.2006;Claude
219;g17k-p2;MK;09.05.2006;Claude
224;g5k;U1;09.05.2006;Claude
225;g17k-p2;IS1;11.05.2006;Claude
226;g1k;M7;17.12.2005;
227;g1k;U1;12.05.2006;Georg
228;o16k-p20;O1;17.05.2006;Katja
229;s16k-p20;O1;17.05.2006;Katja
230;o11k-p20;O1;17.05.2006;Katja
231;o12k-p20;O1;17.05.2006;Katja
232;p17k-y6;U6;23.02.2006;Aymerik
233;p17k-y6;MK;25.02.2005;
234;p17k-y6;U6;;
235;p17k-y6;M1;19.05.2006;
236;r11k-y1;U3;13.03.2006;
237;yellow1;M3;21.07.2005;
238;yellow1;U3;13.03.1966;
239;blue7;U1;29.06.2005;
240;blue7;U3;13.03.2006;
241;r1o-p11k;M7;23.05.2006;Katja
242;r2o-p11k;M7;23.05.2006;Katja
244;r3o-p11k;M7;23.05.2006;Katja
245;r4o-p11k;M7;23.05.2006;Katja
246;g1o-g14k;M6;25.05.2006;Claude
248;k16k-p20;O1;25.05.2006;Claude
249;o17k-g14k;M6;25.05.2006;Claude
250;o18k-g14k;M6;25.05.2006;Claude
253;g20o-ch900;U5;25.05.2006;Claude
255;o20o-ch900;U5;25.05.2006;Claude
256;b20o-ch900;U5;25.05.2006;Claude
257;s20o-ch900;U5;25.05.2006;Claude
258;k15k-g14k;M6;25.05.2006;Claude
259;k17k-g14k;M6;25.05.2006;Claude
260;goldch900;U5;26.05.2006;Claude
261;silver1;U5;26.05.2006;Claude
262;silvergreen8;M2;26.05.2006;Claude
263;purple5;M2;26.05.2006;Claude
264;y16k-b3;MK;30.05.2006;Richard
265;s9k-p11k;M1;02.06.2006;Richard
272;r1o-p11k;IS1;02.06.2006;Katja
273;s9k-p11k;TRC;02.06.2006;Richard
274;b16k-r16;M3;02.06.2006;Georg
275;k13k-r16;M3;02.06.2006;Georg
276;s15k-r16;M3;02.06.2006;Georg
277;k19k-g14k;M6;02.06.2006;Georg
278;k14k-sb;O2;02.06.2006;Georg
279;o13k-sb;O2;02.06.2006;Georg
280;o14k-sb;O2;02.06.2006;Georg
281;b19k-r11;U3;02.06.2006;Georg
