2M1,7,0,5
2M2,7,0,5
2M2B,7,0,5
2M3,7,0,5
2M3B,7,0,5
2M4,7,0,5
2M4B,7,0,5
2O1,7,0,5
2O1B,7,0,5
2O2,7,0,5
2O2B,7,0,5
2O3,7,0,5
2O3B,7,0,5
2O4,7,0,5
2O4B,7,0,5
2U1,7,0,5
2U1B,7,0,5
2U2,7,0,5
2U2B,7,0,5
2U3,7,0,5
2U3B,7,0,5
2U4,7,0,5
2U4B,7,0,5
A,40,0,5
A-UL,0,8,5
A-UR,0,8,5
FJ1,10,4,6
FJ1B,10,4,6
FJ2,10,4,6
FJ2B,10,4,6
FJ3,10,4,6
FJ4,10,4,6
FJ5,10,4,6
FJ6,10,4,6
FJ7,10,4,6
FJ8,10,4,6
IS1,2,3,1
IS2,2,3,1
IS3,2,3,1
IS4,2,3,1
IS5,2,3,1
IS6,2,3,1
IS7,2,3,1
IS8,2,3,1
KM,25,1,5
KO,25,1,5
KU,25,1,5
M1,7,0,4
M1B,7,0,4
M2,7,0,4
M2B,7,0,4
M3,7,0,4
M3B,7,0,4
M4,7,0,4
M4B,7,0,4
M5,7,0,4
M5B,7,0,4
M6,15,0,4
M6B,7,0,4
M7,15,0,4
M7B,7,0,4
MK,15,9,4
O1,15,0,4
O1B,7,0,4
O2,7,0,4
O2B,7,0,4
O3,15,0,4
O3B,7,0,4
O4,7,0,4
O4B,7,0,4
O5,15,0,4
O5B,7,0,4
O6,30,0,4
O6B,7,0,4
O7,7,0,4
O7B,7,0,4
R1,7,5,3
R2,7,5,3
R3,7,5,3
R4,7,5,3
R5,7,5,3
R6,7,5,3
R7,7,5,3
R8,7,5,3
R9,14,5,3
U1,15,0,4
U1B,7,0,4
U2,7,0,4
U2B,7,0,4
U3,7,0,4
U3B,7,0,4
U4,7,0,4
U4B,7,0,4
U5,7,0,4
U5B,7,0,4
U6,7,0,4
U6B,7,0,4
U7,7,0,4
U7B,7,0,4
