ID;Male;Female;Cage;Coupling Date;Separation Date;Success;Comment
202;b14r4;o12r3;M2;21.08.2008;26.03.2009;3 Gen.;nest removed -> separate after juveniles moved out
203;purple20;r2b-o3;U4B;21.08.2008;29.08.2008;No Success;was removed by accident
204;b13r3;g13r2;O3;21.08.2008;03.09.2008;;female died
205;s3k-y8;p10r2;O2;29.08.2008;22.01.2009;2 Gen.;
208;g2r1;r16o-r11;U3;29.08.2008;13.02.2009;3 Gen.;
209;k2r2;p9r2;M1B;21.08.2008;16.01.2009;1 Gen.;
210;g9r1;b4p-red11;M1;11.09.2008;12.12.2008;1 Gen.;
211;b13r3;p3o-sb;O3;11.09.2008;06.12.2008;1 Gen.;
212;p17r2;b13r4;U3B;11.09.2008;30.01.2009;1 Gen.;
215;y16p-s2;blue2;M6;22.09.2008;30.01.2009;2 Gen.;
216;red11;b7br-b3k;U1;22.09.2008;27.04.2009;3 Gen.;19.3.09 - nest removed -> separate after juveniles moved out
217;b10r3;b11r2;U6B;22.09.2008;27.01.2009;1 Gen.;
218;p14k-p2;purple16;U4B;22.09.2008;06.12.2008;No Success;
219;g12r2;r8p-s19o;O5;29.09.2008;26.03.2009;2 Gen.;
221;p1r5;p15r4;2M1;03.10.2008;30.01.2009;1 Gen.;
222;r011;green10;2M1B;03.10.2008;22.01.2009;1 Gen.;
223;p2r5;r2y1;2M2;03.10.2008;09.04.2009;3 Gen.;nest removed, 19.3.09
224;p4r5;o1r5;2M2B;03.10.2008;13.02.2009;1 Gen.;
225;p5r5;r2s18;2M3;03.10.2008;09.05.2009;1 Gen.;
226;k7r2;o3r5;2U1;03.10.2008;30.01.2009;;mysterious  couple, not found 30th Jan
228;o1r1;k5r2;2U1B;03.10.2008;13.03.2009;1 Gen.;
229;g4r1;b9r4;M2B;10.10.2008;22.01.2009;1 Gen.;
230;yellow20;o6r4;U2B;10.10.2008;13.03.2009;1 Gen.;
231;b10r5;r2b-o3;2U2;17.10.2008;10.07.2009;3 Gen.;
232;b11r5;g18k-y6;2U3B;17.10.2008;16.01.2009;1 Gen.;Male is used by Georg in IS7.
233;b15r5;o5r5;2M3B;17.10.2008;26.03.2009;3 Gen.;nest removed -> separate after juveniles moved out
235;b1r5;o2r5;2O3;17.10.2008;22.01.2009;;nesting
236;b2r5;p12r4;2O4;17.10.2008;04.11.2008;No Success;New couple - male looks sick (31.10.08) moitor! Male found dead in cage on 04.11.08. keep female in cage to quarantine until 24.11.08
237;b3r5;o7r5;2U2B;17.10.2008;09.04.2009;2 Gen.;
238;b4r5;g10r3;2U3;17.10.2008;06.02.2009;;
239;b6r5;o8r5;2U4;17.10.2008;22.01.2009;;
240;b7r5;g19r2;2O2;17.10.2008;09.04.2009;2 Gen.;
241;b9r5;o8p-y8;2U4B;17.10.2008;14.05.2009;2 Gen.;
243;s17o;r7g-yellow8;U5B;17.10.2008;22.05.2009;3 Gen.;separated after juvies were old enough
244;b14r5;g7r5;U5;17.10.2008;22.01.2009;1 Gen.;
245;y12red;p12r4;2O4;14.11.2008;09.04.2009;3 Gen.;19.3.09 - nest removed
246;r5y19;o19r5;M4;05.12.2008;30.05.2009;3 Gen.;couple probably never existed
247;r5s14;o17r6;U2;05.12.2008;06.02.2009;;
248;r5y15;r5s2;O4;12.12.2008;22.05.2009;2 Gen.;Tutor is missing. Put a new tutor once all juveniles are transferred.
249;k5r5;r11o-o4k;U4;12.12.2008;19.03.2009;;
250;r5y11;r5s13;O3;12.12.2008;17.04.2009;3 Gen.;
251;k16r5;p20r3;U4B;12.12.2008;16.01.2009;No Success;
252;k16r5;s11o-sb;U4;16.01.2009;14.05.2009;No Success;had 2 eggs, please separate May 15th if no offspring
253;g14r5;purple16;M5;16.01.2009;19.03.2009;;
254;p12r5;r1y17;M7;16.01.2009;19.03.2009;;
255;p14r6;o15r6;M1;22.01.2009;09.04.2009;;
256;b13r3;b11r6;M1;22.01.2009;05.06.2009;1 Gen.;
257;b8p-s14k;p2r6;2M1;30.01.2009;30.04.2009;2 Gen.;
259;k8r2;r5s4;2O3;30.01.2009;09.05.2009;2 Gen.;female was missing
260;o5r6;g2r5;2U3;30.01.2009;14.05.2009;1 Gen.;male bird is missing. Put new father once all juveniles are transferred.
261;b6r5;r5y18;2U4;30.01.2009;14.05.2009;1 Gen.;
262;r6y10;b15r6;O6;06.02.2009;16.06.2009;1 Gen.;no success after 1 generation
263;b16r6;o13r5;O2;06.02.2009;28.06.2009;3 Gen.;Not a good couple (4 Js in 3 gens)
264;p11r6;b18r6;O7;06.02.2009;09.05.2009;;
265;y16p-s2;o8r5;U6;06.02.2009;30.04.2009;1 Gen.;
266;b4r6;p15r5;M3;05.03.2009;09.05.2009;;
268;g6r6;p8r6;M6;05.03.2009;09.05.2009;;
270;g13p-purple20;r6s10;O1;05.03.2009;17.04.2009;1 Gen.;Song deprivation
271;g4r6;r6s4;U3;05.03.2009;05.06.2009;1 Gen.;
272;g19r7;g20r7;2M2B;12.03.2009;19.03.2009;;who coupled them? -> fictive coupling date
